Model,Accuracy,Precision,Recall,F1_macro,ROC_AUC
Random Forest,0.9195670046588106,0.4796806966618287,0.387683284457478,0.6927703076927919,0.8312919160269762
XGBoost,0.8717456837489723,0.32318050657261943,0.5912023460410557,0.6729219624084689,0.8327472830432763
KNN,0.9264638713802869,0.5803722504230119,0.20117302052785924,0.6299889135254989,0.7087712611423224
Decision Tree,0.917100575500137,0.4300254452926209,0.19824046920821115,0.6137135166610452,0.722472996749631
Logistic Regression,0.6514570201881794,0.12588383838383838,0.5847507331378299,0.4918992591286008,0.6622685708035604
